ID,Lat,Lng,District,County,Fwy,Lanes,Type,Direction,ID2
1114091,32.544463,-117.032486,11,San Diego,I5-N,6,Mainline,N,6931
1118333,32.55169,-117.045725,11,San Diego,I5-N,4,Mainline,N,6932
1118348,32.558459,-117.061845,11,San Diego,I5-N,4,Mainline,N,6933
1114720,32.561334,-117.067081,11,San Diego,I5-N,4,Mainline,N,6934
1118352,32.569052,-117.076507,11,San Diego,I5-N,4,Mainline,N,6935
1118743,32.577106,-117.082889,11,San Diego,I5-N,4,Mainline,N,6936
1120362,32.604051,-117.089763,11,San Diego,I5-N,4,Mainline,N,6937
1118796,32.613851,-117.090918,11,San Diego,I5-N,4,Mainline,N,6938
1118735,32.630565,-117.096247,11,San Diego,I5-N,4,Mainline,N,6939
1118450,32.640259,-117.100052,11,San Diego,I5-N,5,Mainline,N,6940
1114190,32.658963,-117.107386,11,San Diego,I5-N,5,Mainline,N,6941
1118458,32.671696,-117.110938,11,San Diego,I5-N,4,Mainline,N,6942
1118479,32.676941,-117.109212,11,San Diego,I5-N,4,Mainline,N,6943
1114205,32.686187,-117.11275,11,San Diego,I5-N,6,Mainline,N,6944
1125469,32.688981,-117.115932,11,San Diego,I5-N,4,Mainline,N,6945
1114211,32.694337,-117.124759,11,San Diego,I5-N,4,Mainline,N,6946
1126864,32.694108,-117.124841,11,San Diego,I5-N,4,Mainline,N,6947
1117762,32.694578,-117.129462,11,San Diego,I5-N,4,Mainline,N,6948
1114219,32.695918,-117.134988,11,San Diego,I5-N,6,Mainline,N,6949
1117782,32.706216,-117.147448,11,San Diego,I5-N,5,Mainline,N,6950
1117809,32.718046,-117.147616,11,San Diego,I5-N,4,Mainline,N,6951
1117748,32.723648,-117.150497,11,San Diego,I5-N,6,Mainline,N,6952
1113976,32.724117,-117.156091,11,San Diego,I5-N,4,Mainline,N,6953
1117741,32.723871,-117.164331,11,San Diego,I5-N,4,Mainline,N,6954
1108603,32.727284,-117.167641,11,San Diego,I5-N,5,Mainline,N,6955
1117835,32.731968,-117.171694,11,San Diego,I5-N,5,Mainline,N,6956
1117717,32.735914,-117.175223,11,San Diego,I5-N,4,Mainline,N,6957
1118078,32.735429,-117.174785,11,San Diego,I5-N,4,Mainline,N,6958
1108611,32.741137,-117.179918,11,San Diego,I5-N,4,Mainline,N,6959
1108613,32.743605,-117.184656,11,San Diego,I5-N,4,Mainline,N,6960
1114050,32.746748,-117.191312,11,San Diego,I5-N,4,Mainline,N,6961
1108617,32.750068,-117.196046,11,San Diego,I5-N,4,Mainline,N,6962
1118496,32.768302,-117.206075,11,San Diego,I5-N,4,Mainline,N,6963
1126411,32.770668,-117.206677,11,San Diego,I5-N,4,Mainline,N,6964
1114805,32.779349,-117.208332,11,San Diego,I5-N,5,Mainline,N,6965
1114035,32.788076,-117.2069,11,San Diego,I5-N,4,Mainline,N,6966
1108547,32.79154,-117.20716,11,San Diego,I5-N,4,Mainline,N,6967
1118707,32.797132,-117.209541,11,San Diego,I5-N,4,Mainline,N,6968
1118521,32.807939,-117.216589,11,San Diego,I5-N,4,Mainline,N,6969
1108665,32.81362,-117.2211,11,San Diego,I5-N,4,Mainline,N,6970
1119637,32.834969,-117.233294,11,San Diego,I5-N,4,Mainline,N,6971
1122594,32.837787,-117.234529,11,San Diego,I5-N,4,Mainline,N,6972
1118537,32.848758,-117.235323,11,San Diego,I5-N,4,Mainline,N,6973
1114296,32.855148,-117.231251,11,San Diego,I5-N,4,Mainline,N,6974
1118544,32.86451,-117.229736,11,San Diego,I5-N,4,Mainline,N,6975
1108719,32.87153,-117.229139,11,San Diego,I5-N,4,Mainline,N,6976
1123086,32.888657,-117.227453,11,San Diego,I5-N,4,Mainline,N,6977
1123087,32.888676,-117.2277,11,San Diego,I5-N,4,Mainline,N,6978
1122536,32.911944,-117.228498,11,San Diego,I5-N,6,Mainline,N,6979
1118170,32.918887,-117.235544,11,San Diego,I5-N,4,Mainline,N,6980
1122552,32.918909,-117.235565,11,San Diego,I5-N,5,Mainline,N,6981
1122575,32.925983,-117.23942,11,San Diego,I5-N,6,Mainline,N,6982
1108437,32.932244,-117.241031,11,San Diego,I5-N,4,Mainline,N,6983
1115277,32.932271,-117.241036,11,San Diego,I5-N,2,Mainline,N,6984
1119828,32.943477,-117.242328,11,San Diego,I5-N,4,Mainline,N,6985
1108507,32.950106,-117.243571,11,San Diego,I5-N,5,Mainline,N,6986
1119679,32.962322,-117.246309,11,San Diego,I5-N,5,Mainline,N,6987
1119850,32.969013,-117.248831,11,San Diego,I5-N,5,Mainline,N,6988
1108509,32.979357,-117.252719,11,San Diego,I5-N,4,Mainline,N,6989
1126614,32.987715,-117.255119,11,San Diego,I5-N,5,Mainline,N,6990
1108512,32.995494,-117.25635,11,San Diego,I5-N,4,Mainline,N,6991
1119659,33.017612,-117.27184,11,San Diego,I5-N,4,Mainline,N,6992
1122507,33.027309,-117.275242,11,San Diego,I5-N,4,Mainline,N,6993
